username, created_at, lng, lat, text
Mrs_Pops_Leyva, Thu Apr 30 07:00:34 +0000 2020, -121.318722, 38.641305, https://t.co/q4M25KLCfC 
kanani_lol, Thu Apr 30 07:00:34 +0000 2020, -157.735838, 21.390696, Cross faded and keep forgetting to breathe 🙋🏻‍♀️ 
Emilykayephotos, Thu Apr 30 07:00:34 +0000 2020, -98.577984, 33.096843, Jaimey + the girls https://t.co/E0DVMjix6q 
Lubithza_LBSG, Thu Apr 30 07:00:35 +0000 2020, -112.598757, 30.901144, Del tejado 😩 🍻 
Mr_DoubleDouble, Thu Apr 30 07:00:35 +0000 2020, -79.861034, 35.170499, My back hurts so bad 
MaxTrumbull, Thu Apr 30 07:00:35 +0000 2020, -83.574671, 41.656590, https://t.co/xnlPOxU9UY 
simplyvaneee, Thu Apr 30 07:00:35 +0000 2020, -99.298171, 34.144231, Facts! 🙄🙄 
Deon_tha_Truth, Thu Apr 30 07:00:35 +0000 2020, -92.076701, 32.521243, Facts but stuff on ha light skin bf 😂😂‼️ 
Kreative_Kayy, Thu Apr 30 07:00:36 +0000 2020, -80.149173, 26.150368, Fucking Burke!!!! Omgggg 
itsbreshae, Thu Apr 30 07:00:36 +0000 2020, -93.809434, 32.461107, 3 
feetlover21, Thu Apr 30 07:00:36 +0000 2020, -102.558037, 23.625418, @Reeysull En la frente.. mientras te devoro el c*lo! Ah y también #delicia de 👣 me los como #malefeet 
Pistol_Ed33, Thu Apr 30 07:00:36 +0000 2020, -119.855078, 34.421639, D.R.I.RepulsionSepultura The GermsAutopsy 
mison_amya, Thu Apr 30 07:00:36 +0000 2020, -84.200366, 39.780358, Do you noticeeeee me do you noticeeeeee me do you noticeee me 
Darth_Zaider67, Thu Apr 30 07:00:37 +0000 2020, -86.409610, 35.847420, The skies are empty 
zwoller14, Thu Apr 30 07:00:37 +0000 2020, -93.301344, 44.824469, @ThierryGotWings Mason Toye at RBA https://t.co/pPIU99qVQM 
jessica_tapatio, Thu Apr 30 07:00:37 +0000 2020, -118.411907, 34.020789, I just want to go back to friday and Saturday nights taking care of my drunk crying friends at 1am 
